title,price,reviews,star_rating,url
"63"" L Shaped Office Executive Standing Desk with File Cabinet",$231.99,(239),4.0,https://www.wayfair.com/furniture/pdp/hokku-designs-63-l-shaped-office-executive-standing-desk-with-file-cabinet-w112715089.html?piid=1702143331&auctionId=9bdbad2e-226f-4574-890f-49c7ace6183d&adTypeId=1
"Dediu Farmhouse Computer Desk With Charging Station, Wood Corner Desk With Monitor Stand & File Drawer",$183.99,(173),4.5,https://www.wayfair.com/furniture/pdp/august-grove-dediu-farmhouse-computer-desk-with-charging-station-wood-corner-desk-with-monitor-stand-file-drawer-w112473542.html?piid=67687832&auctionId=9bdbad2e-226f-4574-890f-49c7ace6183d&adTypeId=1
Koree Standing & Height-Adjustable Desks,$131.99,(64),5.0,https://www.wayfair.com/furniture/pdp/inbox-zero-koree-standing-height-adjustable-desks-w111003401.html?piid=1458745315%2C1458745313
Caidence Computer Desk,$699.99,(11),3.5,https://www.wayfair.com/furniture/pdp/george-oliver-caidence-solid-wood-desk-w005949248.html?piid=553739021%2C553739020
Channay Writing Desk,$309.99,(2),4.0,https://www.wayfair.com/furniture/pdp/wade-logan-channay-desk-w005849507.html?piid=564543439&auctionId=9bdbad2e-226f-4574-890f-49c7ace6183d&adTypeId=1
"Luing 59'' Executive Desk with 2 File and Storage Drawers, Computer Writing Desk with Keyboard Tray and 2 Open Compartments for Home Office",$118.99,(1470),4.5,https://www.wayfair.com/furniture/pdp/ebern-designs-luing-59-executive-desk-with-2-file-and-storage-drawers-computer-writing-desk-with-keyboard-tray-and-2-open-compartments-for-home-office-w110770013.html?piid=499855739&auctionId=9bdbad2e-226f-4574-890f-49c7ace6183d&adTypeId=1
"63"" L Shaped Office Executive Standing Desk with File Cabinet",$231.99,(239),4.0,https://www.wayfair.com/furniture/pdp/hokku-designs-63-l-shaped-office-executive-standing-desk-with-file-cabinet-w112715089.html?piid=1702143331&auctionId=f83114cf-6a48-42dd-b8e0-32e80aafd68f&adTypeId=1
"55'' L Shaped Executive Computer Desk with File&Storage Drawers,Home Office Writing Desk with Monitor Stand and Open Compartments",$183.99,(173),4.5,https://www.wayfair.com/furniture/pdp/latitude-run-55-l-shaped-executive-computer-desk-with-file-storage-drawershome-office-writing-desk-with-monitor-stand-and-open-compartments-w112855519.html?piid=1541437843&auctionId=f83114cf-6a48-42dd-b8e0-32e80aafd68f&adTypeId=1
"Seila Glass Top Height Adjustable Standing Desk, Computer Desk with Drawer, USB Port and Type-C Port",$131.99,(64),5.0,https://www.wayfair.com/furniture/pdp/ebern-designs-seila-glass-top-height-adjustable-standing-desk-computer-desk-with-drawer-usb-port-and-type-c-port-w110523119.html?piid=1974301923%2C1974301933
Kristee Adjustable and Movable Overbed Table with Hidden Casters,$699.99,(11),3.5,https://www.wayfair.com/furniture/pdp/inbox-zero-kristee-adjustable-and-movable-overbed-table-with-hidden-casters-w000433475.html?piid=1828796167%2C1828796169
"Dediu Farmhouse Computer Desk With Charging Station, Wood Corner Desk With Monitor Stand & File Drawer",$189.99,(19),5.0,https://www.wayfair.com/furniture/pdp/august-grove-dediu-farmhouse-computer-desk-with-charging-station-wood-corner-desk-with-monitor-stand-file-drawer-w112473542.html?piid=67687832&auctionId=f83114cf-6a48-42dd-b8e0-32e80aafd68f&adTypeId=1
Channay Writing Desk,$385.99,(105),5.0,https://www.wayfair.com/furniture/pdp/wade-logan-channay-desk-w005849507.html?piid=564543439&auctionId=f83114cf-6a48-42dd-b8e0-32e80aafd68f&adTypeId=1
"63"" L Shaped Office Executive Standing Desk with File Cabinet",$231.99,(239),4.0,https://www.wayfair.com/furniture/pdp/hokku-designs-63-l-shaped-office-executive-standing-desk-with-file-cabinet-w112715089.html?piid=1702143331&auctionId=cbcb72da-133c-4058-942a-805bca9fa529&adTypeId=1
"Dediu Farmhouse Computer Desk With Charging Station, Wood Corner Desk With Monitor Stand & File Drawer",$183.99,(173),4.5,https://www.wayfair.com/furniture/pdp/august-grove-dediu-farmhouse-computer-desk-with-charging-station-wood-corner-desk-with-monitor-stand-file-drawer-w112473542.html?piid=67687832&auctionId=cbcb72da-133c-4058-942a-805bca9fa529&adTypeId=1
Daiah Ergonomic Curved Height Adjustable Standing Desk,$131.99,(64),5.0,https://www.wayfair.com/furniture/pdp/17-stories-daiah-ergonomic-curved-height-adjustable-standing-desk-w006256730.html?piid=41585584
Kaitlyn Writing Desk,$699.99,(11),3.5,https://www.wayfair.com/furniture/pdp/wade-logan-kaitlyn-reversible-desk-w005485841.html?piid=1293359456
"55'' L Shaped Executive Computer Desk with File&Storage Drawers,Home Office Writing Desk with Monitor Stand and Open Compartments",$309.99,(2),4.0,https://www.wayfair.com/furniture/pdp/latitude-run-55-l-shaped-executive-computer-desk-with-file-storage-drawershome-office-writing-desk-with-monitor-stand-and-open-compartments-w112855519.html?piid=1541437843&auctionId=cbcb72da-133c-4058-942a-805bca9fa529&adTypeId=1
